name,author,source
Cortical activation and BCI performance during brief tactile imagery: A comparative study with motor imagery.,Puja Sengupta;Kishor Lakshminarayanan,PubMed
Explainable cross-task adaptive transfer learning for motor imagery EEG classification.,Minmin Miao;Zhong Yang;Hong Zeng;Wenbin Zhang;Baoguo Xu;Wenjun Hu,PubMed
Efficient Multiple Channels EEG Signal Classification Based on Hierarchical Extreme Learning Machine.,Songyang Lyu;Ray C C Cheung,PubMed
A Combined Virtual Electrode-Based ESA and CNN Method for MI-EEG Signal Feature Extraction and Classification.,Xiangmin Lun;Yifei Zhang;Mengyang Zhu;Yongheng Lian;Yimin Hou,PubMed
ETCNet: An EEG-based motor imagery classification model combining efficient channel attention and temporal convolutional network.,Yuxin Qin;Baojiang Li;Wenlong Wang;Xingbin Shi;Haiyan Wang;Xichao Wang,PubMed
IMH-Net: a convolutional neural network for end-to-end EEG motor imagery classification.,Menghao Liu;Tingting Li;Xu Zhang;Yang Yang;Zhiyong Zhou;Tianhao Fu,PubMed
Hybrid optimization assisted channel selection of EEG for deep learning model-based classification of motor imagery task.,K Venu;P Natesan,PubMed
Spatio-Temporal Explanation of 3D-EEGNet for Motor Imagery EEG Classification Using Permutation and Saliency.,Donghyun Park;Hoonseok Park;Sangyeon Kim;Sanghyun Choo;Sangwon Lee;Chang S Nam;Jae-Yoon Jung,PubMed
EEG decoding for datasets with heterogenous electrode configurations using transfer learning graph neural networks.,Jinpei Han;Xiaoxi Wei;A Aldo Faisal,PubMed
Riemannian geometric and ensemble learning for decoding cross-session motor imagery electroencephalography signals.,Lincong Pan;Kun Wang;Lichao Xu;Xinwei Sun;Weibo Yi;Minpeng Xu;Dong Ming,PubMed
A learnable EEG channel selection method for MI-BCI using efficient channel attention.,Lina Tong;Yihui Qian;Liang Peng;Chen Wang;Zeng-Guang Hou,PubMed
Deep temporal networks for EEG-based motor imagery recognition.,Neha Sharma;Avinash Upadhyay;Manoj Sharma;Amit Singhal,PubMed
An Upper-Limb Rehabilitation Exoskeleton System Controlled by MI Recognition Model With Deep Emphasized Informative Features in a VR Scene.,Zhichuan Tang;Hang Wang;Zhixuan Cui;Xiaoneng Jin;Lekai Zhang;Yuxin Peng;Baixi Xing,PubMed
Enhanced Motor Imagery Decoding by Calibration Model-Assisted With Tactile ERD.,Yucun Zhong;Lin Yao;Yueming Wang,PubMed
Effects of visual-electrotactile stimulation feedback on brain functional connectivity during motor imagery practice.,Chatrin Phunruangsakao;David Achanccaray;Saugat Bhattacharyya;Shin-Ichi Izumi;Mitsuhiro Hayashibe,PubMed
A Multi-Domain Convolutional Neural Network for EEG-Based Motor Imagery Decoding.,Hongyi Zhi;Zhuliang Yu;Tianyou Yu;Zhenghui Gu;Jian Yang,PubMed
TDLNet: Transfer Data Learning Network for Cross-Subject Classification Based on Multiclass Upper Limb Motor Imagery EEG.,Jingfeng Bi;Ming Chu,PubMed
Front-End Replication Dynamic Window (FRDW) for Online Motor Imagery Classification.,Xinru Chen;Jiayu An;Huanyu Wu;Siyang Li;Bin Liu;Dongrui Wu,PubMed
3D Convolution neural network with multiscale spatial and temporal cues for motor imagery EEG classification.,Xiuling Liu;Kaidong Wang;Fengshuang Liu;Wei Zhao;Jing Liu,PubMed
Cross-dataset transfer learning for motor imagery signal classification via multi-task learning and pre-training.,Yuting Xie;Kun Wang;Jiayuan Meng;Jin Yue;Lin Meng;Weibo Yi;Tzyy-Ping Jung;Minpeng Xu;Dong Ming,PubMed
Enhancing Cross-Subject Motor Imagery Classification in EEG-Based Brain-Computer Interfaces by Using Multi-Branch CNN.,Radia Rayan Chowdhury;Yar Muhammad;Usman Adeel,PubMed
Decoding Algorithm of Motor Imagery Electroencephalogram Signal Based on CLRNet Network Model.,Chaozhu Zhang;Hongxing Chu;Mingyuan Ma,PubMed
Motor imagery classification using sparse representations: an exploratory study.,José Antonio Alves de Menezes;Juliana Carneiro Gomes;Vitor de Carvalho Hazin;Júlio César Sousa Dantas;Marcelo Cairrão Araújo Rodrigues;Wellington Pinheiro Dos Santos,PubMed
Cortical Contributions to Imagined Power Grip Task: An EEG-Triggered TMS Study.,Houmin Wang;Huixian Zheng;Yu Yang;Kenneth N K Fong;Jinyi Long,PubMed
EEG-FMCNN: A fusion multi-branch 1D convolutional neural network for EEG-based motor imagery classification.,Wenlong Wang;Baojiang Li;Haiyan Wang;Xichao Wang;Yuxin Qin;Xingbin Shi;Shuxin Liu,PubMed
MILimbEEG: A dataset of EEG signals related to upper and lower limb execution of motor and motor imagery tasks.,Víctor Asanza;Leandro L Lorente-Leyva;Diego H Peluffo-Ordóñez;Daniel Montoya;Kleber Gonzalez,PubMed
Graph Neural Networks on SPD Manifolds for Motor Imagery Classification: A Perspective From the Time-Frequency Analysis.,Ce Ju;Cuntai Guan,PubMed
A New Compound-Limbs Paradigm: Integrating Upper-Limb Swing Improves Lower-Limb Stepping Intention Decoding From EEG.,Rui Ma;Yi-Feng Chen;Yi-Chuan Jiang;Mingming Zhang,PubMed
Decoding the EEG patterns induced by sequential finger movement for brain-computer interfaces.,Chang Liu;Jia You;Kun Wang;Shanshan Zhang;Yining Huang;Minpeng Xu;Dong Ming,PubMed
Temporal-frequency-phase feature classification using 3D-convolutional neural networks for motor imagery and movement.,Chengcheng Fan;Banghua Yang;Xiaoou Li;Peng Zan,PubMed
Functional Connectivity and Feature Fusion Enhance Multiclass Motor-Imagery Brain-Computer Interface Performance.,Ilaria Siviero;Gloria Menegaz;Silvia Francesca Storti,PubMed
An Explainable EEG-Based Human Activity Recognition Model Using Machine-Learning Approach and LIME.,Iqram Hussain;Rafsan Jany;Richard Boyer;Akm Azad;Salem A Alyami;Se Jin Park;Md Mehedi Hasan;Md Azam Hossain,PubMed
Brain-Computer Interface: The HOL-SSA Decomposition and Two-Phase Classification on the HGD EEG Data.,Mary Judith Antony;Baghavathi Priya Sankaralingam;Shakir Khan;Abrar Almjally;Nouf Abdullah Almujally;Rakesh Kumar Mahendran,PubMed
Feature learning framework based on EEG graph self-attention networks for motor imagery BCI systems.,Hao Sun;Jing Jin;Ian Daly;Yitao Huang;Xueqing Zhao;Xingyu Wang;Andrzej Cichocki,PubMed
SincMSNet: a Sinc filter convolutional neural network for EEG motor imagery classification.,Ke Liu;Mingzhao Yang;Xin Xing;Zhuliang Yu;Wei Wu,PubMed
Towards a better identification of ictal semiology patterns in insular epilepsies: A stereo-EEG study.,Cristina Filipescu;Elisabeth Landré;Baris Turak;Bertrand Devaux;Francine Chassoux,PubMed
A novel framework for classification of two-class motor imagery EEG signals using logistic regression classification algorithm.,Rabia Avais Khan;Nasir Rashid;Muhammad Shahzaib;Umar Farooq Malik;Arshia Arif;Javaid Iqbal;Mubasher Saleem;Umar Shahbaz Khan;Mohsin Tiwana,PubMed
BrainWave-Scattering Net: a lightweight network for EEG-based motor imagery recognition.,Konstantinos Barmpas;Yannis Panagakis;Dimitrios A Adamos;Nikolaos Laskaris;Stefanos Zafeiriou,PubMed
Online semi-supervised learning for motor imagery EEG classification.,Li Zhang;Changsheng Li;Run Zhang;Qiang Sun,PubMed
Toward personalized circuit-based closed-loop brain-interventions in psychiatry: using symptom provocation to extract EEG-markers of brain circuit activity.,Brigitte Zrenner;Christoph Zrenner;Nicholas Balderston;Daniel M Blumberger;Stefan Kloiber;Judith M Laposa;Reza Tadayonnejad;Alisson Paulino Trevizol;Gwyneth Zai;Jamie D Feusner,PubMed
Local and global convolutional transformer-based motor imagery EEG classification.,Jiayang Zhang;Kang Li;Banghua Yang;Xiaofei Han,PubMed
MI-DAGSC: A domain adaptation approach incorporating comprehensive information from MI-EEG signals.,Dongxue Zhang;Huiying Li;Jingmeng Xie;Dajun Li,PubMed
NeuXus open-source tool for real-time artifact reduction in simultaneous EEG-fMRI.,Gustavo Caetano;Inês Esteves;Athanasios Vourvopoulos;Mathis Fleury;Patrícia Figueiredo,PubMed
Brief Visual Deprivation Effects on Brain Oscillations During Kinesthetic and Visual-motor Imagery.,Dariusz Zapała;Paweł Augustynowicz;Mikhail Tokovarov;Paulina Iwanowicz;Paulina Droździel,PubMed
Improved EEG-based emotion recognition through information enhancement in connectivity feature map.,M A H Akhand;Mahfuza Akter Maria;Md Abdus Samad Kamal;Kazuyuki Murase,PubMed
Self-attention-based convolutional neural network and time-frequency common spatial pattern for enhanced motor imagery classification.,Rui Zhang;Guoyang Liu;Yiming Wen;Weidong Zhou,PubMed
Development of hybrid feature learner model integrating FDOSM for golden subject identification in motor imagery.,Z T Al-Qaysi;A S Albahri;M A Ahmed;Saleh Mahdi Mohammed,PubMed
Hierarchical Transformer for Motor Imagery-Based Brain Computer Interface.,Permana Deny;Saewon Cheon;Hayoung Son;Kae Won Choi,PubMed
EEG-CDILNet: a lightweight and accurate CNN network using circular dilated convolution for motor imagery classification.,Tie Liang;Xionghui Yu;Xiaoguang Liu;Hongrui Wang;Xiuling Liu;Bin Dong,PubMed
T-TIME: Test-Time Information Maximization Ensemble for Plug-and-Play BCIs.,Siyang Li;Ziwei Wang;Hanbin Luo;Lieyun Ding;Dongrui Wu,PubMed
MI-based BCI with accurate real-time three-class classification processing and light control application.,Jiakai Zhang;Boyang Xu;Xiongjie Lou;Yan Wu;Xiaoyan Shen,PubMed
A novel method for modeling effective connections between brain regions based on EEG signals and graph neural networks for motor imagery detection.,Mahya Nikouei;Fardin Abdali-Mohammadi,PubMed
Domain-Generalized EEG Classification With Category-Oriented Feature Decorrelation and Cross-View Consistency Learning.,Shuang Liang;Changsheng Xuan;Wenlong Hang;Baiying Lei;Jun Wang;Jing Qin;Kup-Sze Choi;Yu Zhang,PubMed
Improving single-hand open/close motor imagery classification by error-related potentials correction.,Yanghao Lei;Dong Wang;Weizhen Wang;Hao Qu;Jing Wang;Bin Shi,PubMed
Classification Algorithm for Electroencephalogram-based Motor Imagery Using Hybrid Neural Network with Spatio-temporal Convolution and Multi-head Attention Mechanism.,Xingbin Shi;Baojiang Li;Wenlong Wang;Yuxin Qin;Haiyan Wang;Xichao Wang,PubMed
Subject-Independent EEG Classification of Motor Imagery Based on Dual-Branch Feature Fusion.,Yanqing Dong;Xin Wen;Fang Gao;Chengxin Gao;Ruochen Cao;Jie Xiang;Rui Cao,PubMed
Sparse Bayesian Learning for End-to-End EEG Decoding.,Wenlong Wang;Feifei Qi;David Paul Wipf;Chang Cai;Tianyou Yu;Yuanqing Li;Yu Zhang;Zhuliang Yu;Wei Wu,PubMed
Study of MI-BCI classification method based on the Riemannian transform of personalized EEG spatiotemporal features.,Xiaotong Ding;Lei Yang;Congsheng Li,PubMed
A shallow mirror transformer for subject-independent motor imagery BCI.,Jing Luo;Yaojie Wang;Shuxiang Xia;Na Lu;Xiaoyong Ren;Zhenghao Shi;Xinhong Hei,PubMed
A Temporal Dependency Learning CNN With Attention Mechanism for MI-EEG Decoding.,Xinzhi Ma;Weihai Chen;Zhongcai Pei;Jingmeng Liu;Bin Huang;Jianer Chen,PubMed
A Novel Algorithmic Structure of EEG Channel Attention Combined With Swin Transformer for Motor Patterns Classification.,Han Wang;Lei Cao;Chenxi Huang;Jie Jia;Yilin Dong;Chunjiang Fan;Victor Hugo C de Albuquerque,PubMed
Differentiating brain states via multi-clip random fragment strategy-based interactive bidirectional recurrent neural network.,Shu Zhang;Enze Shi;Lin Wu;Ruoyang Wang;Sigang Yu;Zhengliang Liu;Shaochen Xu;Tianming Liu;Shijie Zhao,PubMed
Granger Causal Inference Based on Dual Laplacian Distribution and Its Application to MI-BCI Classification.,Peiyang Li;Xiaohui Gao;Cunbo Li;Chanlin Yi;Weijie Huang;Yajing Si;Fali Li;Zehong Cao;Yin Tian;Peng Xu,PubMed
Paving the Way for Motor Imagery-Based Tele-Rehabilitation through a Fully Wearable BCI System.,Pasquale Arpaia;Damien Coyle;Antonio Esposito;Angela Natalizio;Marco Parvis;Marisa Pesola;Ersilia Vallefuoco,PubMed
A deep domain adaptation framework with correlation alignment for EEG-based motor imagery classification.,Xiao-Cong Zhong;Qisong Wang;Dan Liu;Jing-Xiao Liao;Runze Yang;Sanhe Duan;Guohua Ding;Jinwei Sun,PubMed
Classification of Motor Imagery Based on Multi-Scale Feature Extraction and the Channel-Temporal Attention Module.,Runze Wu;Jing Jin;Ian Daly;Xingyu Wang;Andrzej Cichocki,PubMed
Correlation-Filter-Based Channel and Feature Selection Framework for Hybrid EEG-fNIRS BCI Applications.,Muhammad Umair Ali;Amad Zafar;Karam Dad Kallu;Haris Masood;Malik Muhammad Naeem Mannan;Malik Muhammad Ibrahim;Sangil Kim;Muhammad Attique Khan,PubMed
Overlapping filter bank convolutional neural network for multisubject multicategory motor imagery brain-computer interface.,Jing Luo;Jundong Li;Qi Mao;Zhenghao Shi;Haiqin Liu;Xiaoyong Ren;Xinhong Hei,PubMed
Motor intent recognition of multi-feature fusion EEG signals by UMAP algorithm.,Yushan Du;Jiaxin Sui;Shiwei Wang;Rongrong Fu;Chengcheng Jia,PubMed
Multi-Band CNN With Band-Dependent Kernels and Amalgamated Cross Entropy Loss for Motor Imagery Classification.,Jinhyo Shin;Wonzoo Chung,PubMed
Enhanced lower-limb motor imagery by kinesthetic illusion.,Weizhen Wang;Bin Shi;Dong Wang;Jing Wang;Gang Liu,PubMed
MSATNet: multi-scale adaptive transformer network for motor imagery classification.,Lingyan Hu;Weijie Hong;Lingyu Liu,PubMed
[Multi-scale feature extraction and classification of motor imagery electroencephalography based on time series data enhancement].,Hongli Li;Haoyu Liu;Hongyu Chen;Ronghua Zhang,PubMed
Dual Attention Relation Network With Fine-Tuning for Few-Shot EEG Motor Imagery Classification.,Sion An;Soopil Kim;Philip Chikontwe;Sang Hyun Park,PubMed
Enhanced motor imagery of digits within the same hand via vibrotactile stimulation.,Vadivelan Ramu;Kishor Lakshminarayanan,PubMed
A case for hybrid BCIs: combining optical and electrical modalities improves accuracy.,Rand Kasim Almajidy;Soheil Mottaghi;Asmaa A Ajwad;Yacine Boudria;Kunal Mankodiya;Walter Besio;Ulrich G Hofmann,PubMed
The effects of layer-wise relevance propagation-based feature selection for EEG classification: a comparative study on multiple datasets.,Hyeonyeong Nam;Jun-Mo Kim;WooHyeok Choi;Soyeon Bak;Tae-Eui Kam,PubMed
MI-CAT: A transformer-based domain adaptation network for motor imagery classification.,Dongxue Zhang;Huiying Li;Jingmeng Xie,PubMed
Subject-independent EEG classification based on a hybrid neural network.,Hao Zhang;Hongfei Ji;Jian Yu;Jie Li;Lingjing Jin;Lingyu Liu;Zhongfei Bai;Chen Ye,PubMed
MBGA-Net: A multi-branch graph adaptive network for individualized motor imagery EEG classification.,Weifeng Ma;Chuanlai Wang;Xiaoyong Sun;Xuefen Lin;Lei Niu;Yuchen Wang,PubMed
Dynamic pruning group equivariant network for motor imagery EEG recognition.,Xianlun Tang;Wei Zhang;Huiming Wang;Tianzhu Wang;Cong Tan;Mi Zou;Zihui Xu,PubMed
EEG motor imagery classification using deep learning approaches in naïve BCI users.,Cristian D Guerrero-Mendez;Cristian F Blanco-Diaz;Andres F Ruiz-Olaya;Alberto López-Delis;Sebastian Jaramillo-Isaza;Rafhael Milanezi Andrade;Alberto Ferreira De Souza;Denis Delisle-Rodriguez;Anselmo Frizera-Neto;Teodiano F Bastos-Filho,PubMed
Enhancing Motor Imagery Performance by Antiphasic 10 Hz Transcranial Alternating Current Stimulation.,Lei Zhang;Long Chen;Zhongpeng Wang;Xiuyun Liu;Dong Ming,PubMed
Motor Imagery Classification Based on EEG Sensing with Visual and Vibrotactile Guidance.,Luka Batistić;Diego Sušanj;Domagoj Pinčić;Sandi Ljubic,PubMed
Decoding Multi-Class Motor Imagery and Motor Execution Tasks Using Riemannian Geometry Algorithms on Large EEG Datasets.,Zaid Shuqfa;Abdelkader Nasreddine Belkacem;Abderrahmane Lakas,PubMed
LMDA-Net:A lightweight multi-dimensional attention network for general EEG-based brain-computer interfaces and interpretability.,Zhengqing Miao;Meirong Zhao;Xin Zhang;Dong Ming,PubMed
Incorporating EEG and fNIRS Patterns to Evaluate Cortical Excitability and MI-BCI Performance During Motor Training.,Zhongpeng Wang;Lu Yang;Yijie Zhou;Long Chen;Bin Gu;Shuang Liu;Minpeng Xu;Feng He;Dong Ming,PubMed
Epileptic seizures detection and the analysis of optimal seizure prediction horizon based on frequency and phase analysis.,Ximiao Jiang;Xiaotong Liu;Youjun Liu;Qingyun Wang;Bao Li;Liyuan Zhang,PubMed
Transformer-Based Network with Optimization for Cross-Subject Motor Imagery Identification.,Xiyue Tan;Dan Wang;Jiaming Chen;Meng Xu,PubMed
Weighted ordinal connection based functional network classification for schizophrenia disease detection using EEG signal.,Mangesh R Kose;Mitul K Ahirwal;Mithilesh Atulkar,PubMed
Cross-Channel Specific-Mutual Feature Transfer Learning for Motor Imagery EEG Signals Decoding.,Donglin Li;Jianhui Wang;Jiacan Xu;Xiaoke Fang;Ying Ji,PubMed
Motor imagery electroencephalogram classification algorithm based on joint features in the spatial and frequency domains and instance transfer.,Ximiao Wang;Xisheng Dai;Yu Liu;Xiangmeng Chen;Qinghui Hu;Rongliang Hu;Mingxin Li,PubMed
Evaluation of EEG Oscillatory Patterns and Classification of Compound Limb Tactile Imagery.,Kishor Lakshminarayanan;Rakshit Shah;Sohail R Daulat;Viashen Moodley;Yifei Yao;Puja Sengupta;Vadivelan Ramu;Deepa Madathil,PubMed
Motor Imagery EEG Classification Based on a Weighted Multi-Branch Structure Suitable for Multisubject Data.,Huiyang Wang;Jiuchuan Jiang;John Q Gan;Haixian Wang,PubMed
One-Dimensional Local Binary Pattern and Common Spatial Pattern Feature Fusion Brain Network for Central Neuropathic Pain.,Fangzhou Xu;Chongfeng Wang;Xin Yu;Jinzhao Zhao;Ming Liu;Jiaqi Zhao;Licai Gao;Xiuquan Jiang;Zhaoxin Zhu;Yongjian Wu;Dezheng Wang;Shanxin Feng;Sen Yin;Yang Zhang;Jiancai Leng,PubMed
"Stability of mental motor-imagery classification in EEG depends on the choice of classifier model and experiment design, but not on signal preprocessing.",Martin Justinus Rosenfelder;Myra Spiliopoulou;Burkhard Hoppenstedt;Rüdiger Pryss;Patrick Fissler;Mario Della Piedra Walter;Iris-Tatjana Kolassa;Andreas Bender,PubMed
Electroencephalography Signal Analysis for Human Activities Classification: A Solution Based on Machine Learning and Motor Imagery.,Tarciana C de Brito Guerra;Taline Nóbrega;Edgard Morya;Allan de M Martins;Vicente A de Sousa,PubMed
Motor Imagery and Action Observation Induced Electroencephalographic Activations to Guide Subject-Specific Training Paradigm: A Pilot Study.,Zhongpeng Wang;Lu Yang;Mengya Wang;Yijie Zhou;Long Chen;Bin Gu;Shuang Liu;Minpeng Xu;Feng He;Dong Ming,PubMed
Design of virtual BCI channels based on informer.,Hang Sun;Changsheng Li;He Zhang,PubMed
Detection of motor imagery based on short-term entropy of time-frequency representations.,Luka Batistić;Jonatan Lerga;Isidora Stanković,PubMed
Feature Extraction Method of EEG Signals Evaluating Spatial Cognition of Community Elderly With Permutation Conditional Mutual Information Common Space Model.,Dong Wen;Bingbing Liang;Jingjing Li;Lingyu Wu;Xianglong Wan;Xianling Dong;Xifa Lan;Haiqing Song;Yanhong Zhou,PubMed
Motor Imagery Multi-Tasks Classification for BCIs Using the NVIDIA Jetson TX2 Board and the EEGNet Network.,Tat'y Mwata-Velu;Edson Niyonsaba-Sebigunda;Juan Gabriel Avina-Cervantes;Jose Ruiz-Pinales;Narcisse Velu-A-Gulenga;Adán Antonio Alonso-Ramírez,PubMed
EEG Signal Complexity Measurements to Enhance BCI-Based Stroke Patients' Rehabilitation.,Noor Kamal Al-Qazzaz;Alaa A Aldoori;Sawal Hamid Bin Mohd Ali;Siti Anom Ahmad;Ahmed Kazem Mohammed;Mustafa Ibrahim Mohyee,PubMed
Portable deep-learning decoder for motor imaginary EEG signals based on a novel compact convolutional neural network incorporating spatial-attention mechanism.,Zhanxiong Wu;Xudong Tang;Jinhui Wu;Jiye Huang;Jian Shen;Hui Hong,PubMed
Joint Filter-Band-Combination and Multi-View CNN for Electroencephalogram Decoding.,Zhuyao Fan;Xugang Xi;Yunyuan Gao;Ting Wang;Feng Fang;Michael Houston;Yingchun Zhang;Lihua Li;Zhong Lu,PubMed
Speech2EEG: Leveraging Pretrained Speech Model for EEG Signal Recognition.,Jinzhao Zhou;Yiqun Duan;Yingying Zou;Yu-Cheng Chang;Yu-Kai Wang;Chin-Teng Lin,PubMed
Interpretation of a deep analysis of speech imagery features extracted by a capsule neural network.,José M Macías-Macías;Juan A Ramírez-Quintana;Mario I Chacón-Murguía;Alejandro A Torres-García;Luis F Corral-Martínez,PubMed
Review of public motor imagery and execution datasets in brain-computer interfaces.,Daeun Gwon;Kyungho Won;Minseok Song;Chang S Nam;Sung Chan Jun;Minkyu Ahn,PubMed
Low-level language processing in brain-injured patients.,Parul Jain;Mary M Conte;Henning U Voss;Jonathan D Victor;Nicholas D Schiff,PubMed
Metaheuristic Optimization-Based Feature Selection for Imagery and Arithmetic Tasks: An fNIRS Study.,Amad Zafar;Shaik Javeed Hussain;Muhammad Umair Ali;Seung Won Lee,PubMed
MDTL: A Novel and Model-Agnostic Transfer Learning Strategy for Cross-Subject Motor Imagery BCI.,Ang Li;Zhenyu Wang;Xi Zhao;Tianheng Xu;Ting Zhou;Honglin Hu,PubMed
EEG-Channel-Temporal-Spectral-Attention Correlation for Motor Imagery EEG Classification.,Wei-Yen Hsu;Ya-Wen Cheng,PubMed
A Cross-Space CNN With Customized Characteristics for Motor Imagery EEG Classification.,Ying Hu;Yan Liu;Siqi Zhang;Ting Zhang;Bin Dai;Bo Peng;Hongbo Yang;Yakang Dai,PubMed
Less Is More: Brain Functional Connectivity Empowered Generalizable Intention Classification With Task-Relevant Channel Selection.,Haowei Lou;Zesheng Ye;Lina Yao;Yu Zhang,PubMed
A Spiking Neural Network With Adaptive Graph Convolution and LSTM for EEG-Based Brain-Computer Interfaces.,Peiliang Gong;Pengpai Wang;Yueying Zhou;Daoqiang Zhang,PubMed
EEG-Based Motor Imagery Recognition Framework via Multisubject Dynamic Transfer and Iterative Self-Training.,He Wang;Peiyin Chen;Meng Zhang;Jianbo Zhang;Xinlin Sun;Mengyu Li;Xiong Yang;Zhongke Gao,PubMed
IFNet: An Interactive Frequency Convolutional Neural Network for Enhancing Motor Imagery Decoding From EEG.,Jiaheng Wang;Lin Yao;Yueming Wang,PubMed
Multi-domain feature analysis method of MI-EEG signal based on Sparse Regularity Tensor-Train decomposition.,Yunyuan Gao;Congrui Zhang;Feng Fang;Jared Cammon;Yingchun Zhang,PubMed
Improving Generalization of CNN-Based Motor-Imagery EEG Decoders via Dynamic Convolutions.,Konstantinos Barmpas;Yannis Panagakis;Stylianos Bakas;Dimitrios A Adamos;Nikolaos Laskaris;Stefanos Zafeiriou,PubMed
"A Model Combining Multi Branch Spectral-Temporal CNN, Efficient Channel Attention, and LightGBM for MI-BCI Classification.",Hai Jia;Shiqi Yu;Shunjie Yin;Lanxin Liu;Chanlin Yi;Kaiqing Xue;Fali Li;Dezhong Yao;Peng Xu;Tao Zhang,PubMed
AutoEncoder Filter Bank Common Spatial Patterns to Decode Motor Imagery From EEG.,Nadia Mammone;Cosimo Ieracitano;Hojjat Adeli;Francesco C Morabito,PubMed
Motor Imagery EEG Decoding Based on Multi-Scale Hybrid Networks and Feature Enhancement.,Xianlun Tang;Caiquan Yang;Xia Sun;Mi Zou;Huiming Wang,PubMed
Improved Domain Adaptation Network Based on Wasserstein Distance for Motor Imagery EEG Classification.,Qingshan She;Tie Chen;Feng Fang;Jianhai Zhang;Yunyuan Gao;Yingchun Zhang,PubMed
Classification of Motor-Imagery Tasks Using a Large EEG Dataset by Fusing Classifiers Learning on Wavelet-Scattering Features.,Tuan D Pham,PubMed
Subject-Invariant Deep Neural Networks Based on Baseline Correction for EEG Motor Imagery BCI.,Youngchul Kwak;Kyeongbo Kong;Woo-Jin Song;Seong-Eun Kim,PubMed
Improving Performance of Motor Imagery-Based Brain-Computer Interface in Poorly Performing Subjects Using a Hybrid-Imagery Method Utilizing Combined Motor and Somatosensory Activity.,Sangin Park;Jihyeon Ha;Laehyun Kim,PubMed
Intra- and Inter-Subject Common Spatial Pattern for Reducing Calibration Effort in MI-Based BCI.,Qingguo Wei;Xinjie Ding,PubMed
Multiscale Convolutional Transformer for EEG Classification of Mental Imagery in Different Modalities.,Hyung-Ju Ahn;Dae-Hyeok Lee;Ji-Hoon Jeong;Seong-Whan Lee,PubMed
Decoding Articulation Motor Imagery Using Early Connectivity Information in the Motor Cortex: A Functional Near-Infrared Spectroscopy Study.,Zengzhi Guo;Fei Chen,PubMed
Relation Learning Using Temporal Episodes for Motor Imagery Brain-Computer Interfaces.,Xiuyu Huang;Shuang Liang;Yuanpeng Zhang;Nan Zhou;Witold Pedrycz;Kup-Sze Choi,PubMed
Robust Bayesian Estimation of EEG-Based Brain Causality Networks.,Ke Liu;Qin Lai;Peiyang Li;Zhuliang Yu;Bin Xiao;Cuntai Guan;Wei Wu,PubMed
An Integrated Machine Learning-Based Brain Computer Interface to Classify Diverse Limb Motor Tasks: Explainable Model.,Hend A Hashem;Yousry Abdulazeem;Labib M Labib;Mostafa A Elhosseini;Mohamed Shehata,PubMed
"Mapping and decoding cortical engagement during motor imagery, mental arithmetic, and silent word generation using MEG.",Vahab Youssofzadeh;Sujit Roy;Anirban Chowdhury;Aqil Izadysadr;Lauri Parkkonen;Manoj Raghavan;Girijesh Prasad,PubMed
A Multi-Scale Temporal Convolutional Network with Attention Mechanism for Force Level Classification during Motor Imagery of Unilateral Upper-Limb Movements.,Junpeng Sheng;Jialin Xu;Han Li;Zhen Liu;Huilin Zhou;Yimeng You;Tao Song;Guokun Zuo,PubMed
KCS-FCnet: Kernel Cross-Spectral Functional Connectivity Network for EEG-Based Motor Imagery Classification.,Daniel Guillermo García-Murillo;Andrés Marino Álvarez-Meza;Cesar German Castellanos-Dominguez,PubMed
Exploring the Role of Visual Guidance in Motor Imagery-Based Brain-Computer Interface: An EEG Microstate-Specific Functional Connectivity Study.,Tianjun Wang;Yun-Hsuan Chen;Mohamad Sawan,PubMed
Motor imagery EEG signal classification with a multivariate time series approach.,I Velasco;A Sipols;C Simon De Blas;L Pastor;S Bayona,PubMed
Retraction: Multi-class motor imagery EEG classification method with high accuracy and low individual differences based on hybrid neural network (2021,,PubMed
Recognition of single upper limb motor imagery tasks from EEG using multi-branch fusion convolutional neural network.,Rui Zhang;Yadi Chen;Zongxin Xu;Lipeng Zhang;Yuxia Hu;Mingming Chen,PubMed
Posthoc Interpretability of Neural Responses by Grouping Subject Motor Imagery Skills Using CNN-Based Connectivity.,Diego Fabian Collazos-Huertas;Andrés Marino Álvarez-Meza;David Augusto Cárdenas-Peña;Germán Albeiro Castaño-Duque;César Germán Castellanos-Domínguez,PubMed
A multi-feature fusion decoding study for unilateral upper-limb fine motor imagery.,Liangyu Yang;Tianyu Shi;Jidong Lv;Yan Liu;Yakang Dai;Ling Zou,PubMed
Multi-source online transfer algorithm based on source domain selection for EEG classification.,Zizhuo Wu;Qingshan She;Zhelong Hou;Zhenyu Li;Kun Tian;Yuliang Ma,PubMed
Discrepancy between inter- and intra-subject variability in EEG-based motor imagery brain-computer interface: Evidence from multiple perspectives.,Gan Huang;Zhiheng Zhao;Shaorong Zhang;Zhenxing Hu;Jiaming Fan;Meisong Fu;Jiale Chen;Yaqiong Xiao;Jun Wang;Guo Dan,PubMed
Multimodal motor imagery decoding method based on temporal spatial feature alignment and fusion.,Yukun Zhang;Shuang Qiu;Huiguang He,PubMed
Improvement of brain-computer interface in motor imagery training through the designing of a dynamic experiment and FBCSP.,Chun-Ling Lin;Liang-Ting Chen,PubMed
Classification of Motor Imagery EEG Signals Based on Data Augmentation and Convolutional Neural Networks.,Yu Xie;Stefan Oniga,PubMed
